Name,Translation
चांदा,chhandadakhai
नादिर,nadir
आहिम,ahimdinmomohanmomomomohanmomohanmomohanmomohansinghmomomohanmo
आमिल,ailmilalchandchandchandchandhar�momomomo�momomomomomo�momomomo
पियारी,piyari
धर्मेंद्र,dharmendragh
दिब्या,didyaba
गणेशी,ganginiighsaighjumegogogoghghgumezzisakhe
हीरा,heerai
हुसैन,husainsahaninshhanhankansinkusinhankumosinhankusinhankusinghkuhankusin
अन्नु,annunum
मन्नो,mannnmohanpalmomomomomunmomunmomunmomunmomunmomunmunmomunmomunmomun
हर्षदीप,hardeepshi
नाजदा,najjada
भोजपाल,bhojpalivajalobhasinghgavasinghvagosinghchovasinkhakhakhasinkha
जैनी,jainiini
सोमदेवी,sodemvidevi
हर्षित,harshitha
सारूफ,rfookhi
निदा,nidadai
एस्राइल,islar
बिसान,basisinghgh
इकलाख,ilqhakukusukamharkamhasokamghkukamhakamghkuhsukamwwarhamisu
मंगोल,mangogulgulgulmunmunmunmomunmunmunmomunmunmomunmunmomunmunmomunmunmomunmunmunmo
साहेनाज,sahnajkhi
करमवीर,karmarikar
हर्ष,harshar
महेंद्र,mhendrin
अनुजा,anujayan
जियोटी,yotiya
माजरुला,rajeddin
भुलाई,khilalasha
सहर,harsehrhimkanthsinQsin�����sinsinghkamkamkamghkammoghghku
नन्द,nanmand
मौसम,mouddin
सुखदेवी,sukhvidevi
झिंगी,jinghghdeddin
शेर,sherkh
सरीदेवी,sridevi
पवित्रा,pabittara
आसरुद्दीन,aruddin
सयारी,sairi
मुशीर,muishddin
भविसय,vavasivikhakhakhakhasinghkhakhaighgufichivahanjsinkhaghvasinghgh
नवीना,navina
शैलेंद्र,shailender
वंदना,vdandanav
आस्था,astha
कौशल,alkukushinhanocchaokusibahansinghtughukumotohansinsinghghto
ओम्परकाश,omparkashsahanbahanmososomomososomunmomosomomosomosomomosomo
बबीता,babita
कार्तिक,ktikartichinibhasinghchchinibhinighvasinghchghshahighchinighbaghva
मीर,mir
रुद्मल,rudmlal
नाजिम,najinimjisinghghjamzhiddin
वत्सल,vavatvavavasinghvaghvaghvavasinghghvaghvajvasinghghvatghgh
हिमांसु,inhijamjamsuhankanjamkanhmunkamhjamsuhjamsukanhjamsukanhjaminkanhjam
सेल्वा,salvakhakhakhat
लेमन,lemendrajanmanganendramemememegumegumegumegumegadevjabhagafamegume
श्री,shririm
गुलुराम,khuramram
जूही,joohihim
खंचन,khanankhsinghghuhanmanccchahagusinghghjayanhansibahanghghghu
मेहरुनिशा,mehareshunisha
नामे,namesh
अर्हियंत,arithayahanhanhanjamjahanghshuhanjahanhankughjahanhanshukamhanghkujamhanja
मनश,manmanshanshanbalmunmunkammunmunmunmumunmumumunmomunmunmumumunmomunmumunmumumu
रविकांत,ravaitkankhakhakhakhainivakhavakhavakansinkhakhakhakhavakhakhavakhakhavashankha
सुनकी,sunankikimee
दरा,dara
रामदीन,ramdeeddin
कासिश,kaishkasinsinsin$$$$sinsinmumusinsinkumusinsinghkumumusinsinghkumu
साक्षाम,sasakshddin
आरती,arati
बुपाल,baulbu
धुरुव,dhurvakhakhakhakhashathirthinighghurvavasinghghurvavakhharvaddin
सूफिया,suriyainkisinsinsinghsinghgugugusinghhilguilvaithansinsinsinsinsinmun
तनवीर,vitaranddin
दुनी,duin
दुर्गेश,durggishwari
आनारा,anara
जहानी,jahanini
जीतू,jeetu
तपस,pasatbasinsinghmumusinghmumusinghmughmusinghbughmusinghghbusinghgh
उर्वशी,urvashi
इरा,ira
रूपेन,rupendra
द्वंदवा,dvundav
पर्मिता,marpitafahlajammumemumumememunmemubhumemunmemunddmememunbhumemun
कलुआ,kulukabainbavatikansinsinghmomogugumogumogusinghchgubahuni
हीरालाल,heerailal
शन्नो,shanshannshhanlalganganganganganganmunAmungomungomungomunmungomungomungomunmun
इस्लामुदीन,ismlamuddin
लीलादेवी,lilavida
डाक्स,daqkhusmt
रीमाशा,rishaisha
मामीनी,maminiimalijamsamomomomomomomosinmunmomomomomomosinmunmumumumu
धर्मवेश,dheshvmrvaghvasinghghmaribaghshri
सुर्गायन,argkhansiyan
उंकर,unkaranm
आबिदा,adabibai
मनवी,manvia
देवीदीन,deviddin
फूला,fali
नवीदा,navida
लाश्मा,shlakhshmsinsinsinsinmunmunsinmubhamunbhamunsinsinmubhamunbhasinmunsinmu
जूली,juleelichi
लम्भू,llarambhubhumunmemebhumemunbhumemebhumebhumeghbhumeddmeddmohanbaghsa
रविंदर,vinder
फूली,phaliya
छानोयार,otarhanvainichinihanchhihanjahanvasinchhanhanchinihanvachhaninivahanch
आसु,suninder~~~~~~~momomosomomomomomosomomomomosomomomomo
किशन,kishishkankanishhansinsinsinsinsinsinsinghghkukusinghkusinghhishshinhkh
सिकेंदर,sinksinghghiksingh
निताशा,nishtaha
प्रसन्त,prsansantya
दिनकर,dinkarinkshanajhan
अयूब,yebaa
डीपका,dikpaika
वीपल,virpalpal
सलमान,salmaansinghghbasinghghuddinddinmmansinsinsinsinsinsinmunsinmusamunsingh
जब्बार,bajbabar
सावित्री,savitri
धर्मबीर,dharambirbir
कुशुमावती,kukushvakiyahanthsinsinkusinghkusomohansasinghghshobasinghghsai
आफरीन,farin
समीमा,samisamsuddinmddinmomomomomomunmunmunmunmunmunmunmunmunmunmumunmumumunmumu
जनेश,janjneshsingh
दौलत,dolat
रामली,ramlimali
सुरेश,eshirishddin
मन्वेंद्र,manvendra
धना,dhdana
उमेश,ueshmeshmisa��somomomosomegusomegumegusomegumegumeguharsa
मोहसीन,mohinsinhuddin
दूधनाथ,duddin
अक्रम,kirankmomotohanmomomotomokanmokanmohankarmomomotomohansinmumogh
पनाज,janajeena
चंद्रिका,chanderdinikhainikhakhainikhainikhakhainikhakhainikhakhainikhakhainikhakhaishacc
बागा,babagdaisa
विपुल,vipululikaghshuvighshuchsinghdevchsinghguchilvasinghgubhughchhi
अखिल,akhikhtokhuinisinghMkukamghkukamjamguzhangukujamgujamgujamz
मामोइता,mamita
चेतना,chtenath
गुरुजीत,gurjeet
सरबारी,sararsi
मंदोथी,mandoiniti
शिमरान,shiddinman
पल्लु,llupal
आदित्य,aditya
यक्ष,yakshish
स्मृति,smarti
नरबहादुर,artharhanddin
विकास,vicqhakukusimuvakanghkaghkagugukhakhakhakhakhavasinkhakhasinkhaghgu
नर्मदा,narbadamddin
हसीना,hasina
खुश,khunishkhurunishkhakhunishthkhunishhanthsinunghusakhsinghghunisa
सारिका,sariksha
अंकुश,ankukushukammomomomomomomomomomokanmoshumomomomogomokanmogomomo
अंगद,angdandumansigzzzzzzzzazzzadhargujamjamzzz
शेख,khishilishenkhsingugugulgulgulgulsogulsogogogogugugusogugugulsogulso
धीरेन्द्र,dhirender
मामता,mminamumumumumumumumumumumumumumumumubamomumumuhjammuddinba
सलीम,lseeminath
दीन,dinddin
श्रीकांत,sinkantsasinghghbhusinghbhubhusinghbhusinghbhumubhusinghghbhusinghmubhusin
आलपना,alalnapajddin
केएम0,kemindesabin
विद्या,vidya
नौशाद,naushan
भार्कह,bharkarbhkansinghghkuchiharkashalisaghchghvakamandchinivaghkukamsa
रूही,ruhim
चिंकू,chininchchinchhinkuchindakshinichhihancchhihankayaghghghgu
अरसलान,aransalalkaarddinjamjamsarjamsarjamsarjamsakusarjamjamzwarsuddinpal
सरोजनी,sarjesh
गुफरान,urgakhursinghghgugugufafakaryaneetkaunsingugugugugugugusinghgugu
सुस्री,susunsimari
ताज,tajajaghghgudevjujamjughghjumeghghjughbuddinghghghdevjujamghjugh
प्रभात्यशी,pratibhashyatibasinghghvicabali
दीक्षा,dikkshai
सहरान,harsanhan
सुचित्रा,suititchital
आरधना,ardina
यिनिता,yitaitathththganganganganju�singujughgugugugugugugujamgugugugujam
वैशान्वी,vaishanivai
रजना,rajjddin
यादुवंशी,adyuddin
परधुमन,dharmpuddinddin
रोसीना,rosina
हबीब,hahibichahanhanmumuchhmunhasinghghhichaddin
बिमला,imibalddinddinddinddinmunmunmunmunmunmunmumumubughjambiddinsajhddinddinddindeedee
सुजीत,sujeetj
जनकिदास,janjahid
अमीन,amini
रामकिशन,ishishankankhkaddinddinshankaddinmumumumumukanmukhkankhharsakanddinddinshukanmun
दिनीश,dishini
नरहरि,narhari
मीनत,mitinda
आइशा,aisha
दीपनारायण,deenyarayanyan
जेनाब,jinabbina
रागनी,raginikhan
उड़ी,udai
बीराजभूषण,brijunibajar
यादव,yadatadururz~~~~~~~~~gugugugumumugugujamgugujamgu
सिना,sithina
अवस्था,asthas
विधि,viddkhakhadkhainiddddddddhaguguddddddhaguddddhagughguddhava
सिमरन,simrinddinddinmansasamunmunmunmunkammunmunmunkammunmunkamsinmunmunkammunmumunkam
सुकन्या,susunkyanya
आयेशा,aysha
सैएमन,saimun
आशीष,aishish
सन्नी,sannninisithmunmunmunmunmunmunmunmumunsomunmunmunsomunmunmunkammunmun
तबस्सुम,birbubumumomosinmumumumumumusinmumusinbusinghmumubusinghghsumsin
शाजिद,shajidghghghilghghzzzkhisinghghghghzzkhurfasinkhaghgulgul
शींसर,shinsinsinghghghsinghghilsasinsinghsinghgusingulmunsingulsingulmungulsingul
शिमला,shimimumugulgulgulgulgulgulgulgulsingulgulgulgulsingulmungulgulsinmungulmungulgulsin
नरेंदर,narendaren
खसभू,kh$����������mugumumugumusingumumusinsinghgumusingh
शाहिबा,shahidabahisinghghghghghkuhsinghghughghhalipughghhagufsingh
अंशुमान,anshumanshushushumunmunshumoshumomoshumoshumomoshumoshumosomunsomunsomunmo
सुरेखा,surkhaikha
अरु,aruddin
अम्लेश,ameshmlesh
शमीम,shaminiiniini�������sinsinmumumumumusinmumumugulsinmumumumu
इंद्रनाथ,dinthnath
नार,narar
सोहेल,sohhilkhihan
शैलजा,shaijalshai
अर्णबजित,arjithan
रामन,ramanmanramddinanjamjamjamandandarimomunsamunmomunmunmomunmunmomunmunmomunmomun
सालू,saalkhu
रविंदर,vinder
शैलेश,shaileshilinkhiniinighgulgulilgulishhansingagailgagulgulilgagagulilgakha
मुर्शिदा,murshidashafshi
तरंनुम,rantransinghddinddinddinnughnunuddinghnuddinddinddinghnuchanghnujamghhanddinddinddin
सत्वीदा,vasivatiddin
जमना,jamnajmina
आलिशा,alisha
त्रिलोक,tililkhbhilkhurderfinderdersinghghbhughmegusinghghdevilkhdevbhughdev
चंद,chanddcharkhainikhahihiccchhahimunchhashichhimani
सायदा,saidaya
उदय,udai
अमुदा,amudada
अवफेश,avvirbirghjaguguffvajeetjeetghghjughseghjahreeyasinghgh
दीपक,deepyakithashulsinpanmunmunkamsomunkamveerpanmunkamkamguchandjamzza
आयेशा,aysha
हरप्रीत,harprital
बृजपाल,brijjalisha
माशली,amshalimimixmumumumumumumuxmuxmumukhsinmumumukhsinmumukh
जेटा,jetakha
अक्काश,akankankankankankankukanhkumukantoshhsinghkumomohanghkumotoshmohan
बंती,batantsin
योगेंद्र,yogendradergderderderderdergogomungogogomungugogumegugugogugumegu
सोसन,sosososansinsososososososososososomunsososososomunsosososomunso
खुमा,khukhhaninisinsinghghghkumohansinghghuhansasahimohansinghghmotogh
चंदा,chundaiha
किरंति,kirinikaniniththiniinisinghghhaninighinighyanhaneshddin
अनामिका,anmarikaa
पातन,patantanya
साहिन,sahininkhinkuinigh�mun�munkam		munkammunmunkamddkam�dd�singhgh
टूल,tul
इमराना,imna
कुनोद,kunodohan
प्र्यानिका,priyanyakashyansadasinsinmunmunmunmumunmumunmumunbhamunmunjumunmunbhamunmun
अमर,amarm
गुलाफशा,gugulaffafashagugusingugugugugugusingugugugusinguchgusinghgugu
मंगल,manmangulgulgulgulgulmunmunmunmunmunmunmunmunmunmunmunmumunmumumunmumumumumunmu
चंद्रकांता,chanchanchandchchanddarkankancinikhashaghchinishaghchiniddin
अख्लेश,khaleshtineshinmumusinghjahantosinghghtogumeghgumejashf
तानिया,taniyakhaya
साइशा,saishaisa
रुकमणि,rukmaninika
पुन्नेट,punntesh
शिवानी,shivginivainiMM	����������������A�A�
अय्यर,ayar
रूकमणि,rukmaninika
बलराज,balrajrajariderderderbalghchanbhumunbhajmunbaveerddin
शाहनाम,shhanaghddin
मंजूला,manjulalikajaddinsajammunmunmunmomunmunmunmomunmunmunmomunmunmumunmumumumun
साहुन,sahunkhusinsinghghghghkuhansinghkumughkumanisinghghkuhankusingh
रामहेतु,ramthhauddin
राजिबुल,rajibalddin
सुस्मिता,sumsitasinthsinsinghsinghmumumusinghsuddinmddinddinddinddinsinsinsinmunmunmun
काशिश,kaishishkanishkanthsinsinsinsinsinsinghkukusinsinghkumusinsinghkumusinsingh
राजबाला,rajbabai
बल,baballal
बिक्रम,businghkarmumusinghkddinm
उर्मिल,irmil
दिशाद,dishisha
मंजिंदर,manjindersinghghjamjamjusinghghjamgujamjamzzzkhalisaddin
सुप्रिया,suriyayriddinpalpaljusinsinjumunsinguguguguguguguiljamiulila//
अल्केश,alkeshkeshkeshmekamkammomome�kamkammomememe�somegokammemegomegomeme
काजुल,kajulvachhihansinghghjukughkuchhanvatisinghghkughjakumghito
मनमथ,manmanthddinddinjammunmomomunmomomomunmomomunmomomunmomomunmomomunmomomun
जिस्म,simsinghghmumususinghghkamsasinghmumusukamsinghghmususinghghkasa
आरिफून,arariddinddinmun���munmunmunmunmunmunkammunmunkammunjumunmunzharzz
मनोजकुमार,mnoojjaokarkajainbahankasamomomomomomomomomomomomomomo
सौरब,usar
मेवा,mevavavakhakhakhakhakhakhahijakhaddhisadevdevkam�mememumumegumemudev
अभिजित,aitifjhansinghghghghjughjugufjeetzzzzhzavjindersingh
तार्ननुम,tarranddinddinddinddinnunughsinghghnughddinddinddinddinghghnuddinghddinddinghddingh
तनय,tanaina
परम,parmamari
रितेश,rishitesh
मंजू,manjuddinddinjamjammunmunmunmunmunmunmunmunmumunmumunmumumunmumujammunmujamjammun
बैजनाथ,baijayannath
मंदू,mananduddinddinddinmunmunmunmunmomunmunmomunmunmomunmunmomunmunmomunmunmunmomunmun
निर्मला,nalilamifasarharparsokammunsomunkammunparmunsomunmunmunkampar�
होरम,haromilh
सान,sakansinghghghun�gul~~~mun~~munmun~munmun~~munsomun~munso
हुकम,uhkukuhanmohanshumohansokumomohansoghkumohkuhankukanhikankanhanshu
अनन्या,ananya
बिगन,baginguddinddin
ओंकारा,okankanthhanhangagasagohangomumumohangogomomogomogomohansosomogo
इश्तकार,ishtkar
नूरनबी,noorinbarhi
सबीला,saibasali
रितुंजय,rityanjainajahanddin
सुब्रती,surati
प्रभातीलाल,pratilabhajvalifabhapalbhasingh
श्सी,shssisit
त्यारा,tyara
मनु,mannuddin
परमानंद,parminderddin
पूल,pulul
मयंक,mayankansinsinmunmunmunmumumunmunmubumunmunbumunsinbumunmunbumunbasinghbumun
जानकी,jankiniki
रामफरे,rfrddin
मिथुन,mitthindhunkusumandkhahilkhakhahkhagujammumuhgujamguhjamgu
हेरा,haraekh
सुबे,sudebmi
जीतेंदर,jititender
मोहम्मद,mohhdhad
रियाजुद्धीन,riyajiddinddin
देवेश्वारि,devashdevi
सलोनी,losnity
रामभा,rambhabasinkhsakhainighkhakhamisakhshanchharalikammunkamkammunkammunkamkammunkam
सोबन,sosobsinhansinsinmunmunsomunsomunsomunmunsomunsomunmunsomunsomunmunsomundd
सेठी,sehithi
लावली,lavalivi
बेंजीर,benjendra
थारु,tarthu
हुमा,huhmadunhaihasaunhkuhansimahanhanthununkumohanmohansokumo
धुर्व,dhurvavavakhakhagavatikhsinghghghurvavakhakhavaghshaghghghurkhakha
सन्हा,sanhansada
शर्जप्रित,sharjtisinghghghmpalsinghghghreghfalighsaghjddin
उज्वल,julv
रिजुल,rijulla
मिस,misammumumumumumumumumumumumusinmumumumumumumusinmumumumumumu
डाक्च,dakvakumkar
वामन,amvanwwamwarhimaninijammumomomomomomomogoghmomoghmogh
दीपेन्द्र,deepender
डीपी,didi
